".smooth",".type",".by",".estimate",".se","log_ircw_z","timeindex","region",".lower_ci",".upper_ci"
"s(timeindex):regionbusan","TPRS","region",-1.60463684506742,0.118600296035309,NA,44.5050505050505,"busan",-1.83708915385242,-1.37218453628243
"s(timeindex):regionbusan","TPRS","region",-1.62466102970334,0.118539377021556,NA,45.1010101010101,"busan",-1.85699393941541,-1.39232811999128
"s(timeindex):regionbusan","TPRS","region",-1.65203895845108,0.11731462384844,NA,45.6969696969697,"busan",-1.88197139605388,-1.42210652084827
"s(timeindex):regionbusan","TPRS","region",-1.68430342419764,0.116719240572442,NA,46.2929292929293,"busan",-1.91306893202249,-1.45553791637278
"s(timeindex):regionbusan","TPRS","region",-1.71598122123793,0.117682785936327,NA,46.8888888888889,"busan",-1.94663524327347,-1.48532719920239
"s(timeindex):regionbusan","TPRS","region",-1.73946114203581,0.11898630222404,NA,47.4848484848485,"busan",-1.97267000904853,-1.50625227502309
"s(timeindex):regionbusan","TPRS","region",-1.74828955516953,0.118973852669437,NA,48.0808080808081,"busan",-1.9814740215036,-1.51510508883546
"s(timeindex):regionbusan","TPRS","region",-1.73829664831938,0.117204654532374,NA,48.6767676767677,"busan",-1.96801355002329,-1.50857974661547
"s(timeindex):regionbusan","TPRS","region",-1.71008434235868,0.115682677318379,NA,49.2727272727273,"busan",-1.93681822353787,-1.48335046117949
"s(timeindex):regionbusan","TPRS","region",-1.66802905622261,0.116174373877056,NA,49.8686868686869,"busan",-1.89572664494813,-1.44033146749709
"s(timeindex):regionbusan","TPRS","region",-1.61988496145008,0.117949791409034,NA,50.4646464646465,"busan",-1.8510623045958,-1.38870761830436
"s(timeindex):regionbusan","TPRS","region",-1.57377982208973,0.118711522876218,NA,51.0606060606061,"busan",-1.80645013147702,-1.34110951270244
"s(timeindex):regionbusan","TPRS","region",-1.53622694041038,0.117040254458199,NA,51.6565656565657,"busan",-1.76562162388985,-1.3068322569309
"s(timeindex):regionbusan","TPRS","region",-1.50853602678852,0.114858564227532,NA,52.2525252525252,"busan",-1.73365467599046,-1.28341737758657
"s(timeindex):regionbusan","TPRS","region",-1.48591710891322,0.115033947314596,NA,52.8484848484848,"busan",-1.7113795026493,-1.26045471517713
"s(timeindex):regionbusan","TPRS","region",-1.45661022949041,0.117922126898276,NA,53.4444444444444,"busan",-1.68773335119139,-1.22548710778943
"s(timeindex):regionbusan","TPRS","region",-1.40265347279792,0.12073888987841,NA,54.040404040404,"busan",-1.63929734849295,-1.16600959710289
"s(timeindex):regionbusan","TPRS","region",-1.30280534289983,0.120767784382541,NA,54.6363636363636,"busan",-1.53950585078231,-1.06610483501735
"s(timeindex):regionbusan","TPRS","region",-1.13507144287995,0.119448621860053,NA,55.2323232323232,"busan",-1.3691864397286,-0.900956446031307
"s(timeindex):regionbusan","TPRS","region",-0.880815723087405,0.120592970818727,NA,55.8282828282828,"busan",-1.1171736026808,-0.644457843494011
"s(timeindex):regionbusan","TPRS","region",-0.527011727853793,0.125324030628854,NA,56.4242424242424,"busan",-0.772642314283742,-0.281381141423844
"s(timeindex):regionbusan","TPRS","region",-0.0699517202206579,0.129024858889641,NA,57.020202020202,"busan",-0.322835796754716,0.182932356313401
"s(timeindex):regionbusan","TPRS","region",0.486175382886081,0.12563811584143,NA,57.6161616161616,"busan",0.239929200751407,0.732421565020756
"s(timeindex):regionbusan","TPRS","region",1.12708900958837,0.116346809792008,NA,58.2121212121212,"busan",0.899053452679899,1.35512456649684
"s(timeindex):regionbusan","TPRS","region",1.83321393723556,0.115716398164844,NA,58.8080808080808,"busan",1.60641396441177,2.06001391005935
"s(timeindex):regionbusan","TPRS","region",2.58076739901989,0.143881446788934,NA,59.4040404040404,"busan",2.29876494527006,2.86276985276971
"s(timeindex):regionbusan","TPRS","region",3.3482198890966,0.198890418613934,NA,60,"busan",2.9584018317432,3.73803794645001
"s(timeindex):regionchungbuk","TPRS","region",2.20131892812005,0.207364766455963,NA,1,"chungbuk",1.79489145420381,2.6077464020363
"s(timeindex):regionchungbuk","TPRS","region",2.48994795220556,0.153606201402038,NA,1.5959595959596,"chungbuk",2.18888532965556,2.79101057475556
"s(timeindex):regionchungbuk","TPRS","region",2.76551065191667,0.128992702325501,NA,2.19191919191919,"chungbuk",2.5126896010902,3.01833170274315
"s(timeindex):regionchungbuk","TPRS","region",3.01473453797368,0.132584120280594,NA,2.78787878787879,"chungbuk",2.75487443730179,3.27459463864557
